domega_x,domega_y,domega_z,omega_x,omega_y,omega_z,dq_w,dq_x,dq_y,dq_z,q_w,q_x,q_y,q_z,dt
7.0885,-5.96749,0.178274,-0.223093,0.605018,-0.0157538,-0.00424679,-0.110667,0.302881,-0.00374857,0.999779,-0.0176954,0.0110191,0.00259928,0.01
6.92821,-6.02688,0.176236,-0.153811,0.544749,-0.0139914,-0.004344,-0.0761033,0.272638,-0.00302183,0.999732,-0.0184563,0.0137454,0.00256905,0.01
6.72836,-6.05338,0.172857,-0.0865271,0.484215,-0.0122629,-0.0041106,-0.0425457,0.242267,-0.00225605,0.999688,-0.0188817,0.016168,0.00254649,0.01
6.49118,-6.04735,0.168094,-0.0216153,0.423742,-0.0105819,-0.00361613,-0.0101792,0.211932,-0.00146356,0.999649,-0.0189835,0.0182873,0.00253185,0.01
6.21957,-6.01045,0.161939,0.0405803,0.363637,-0.00896253,-0.00292845,0.0208253,0.181789,-0.000657092,0.999618,-0.0187752,0.0201051,0.00252527,0.01
5.9156,-5.94246,0.154367,0.0997363,0.304213,-0.00741886,-0.00211247,0.0503078,0.151992,0.000150416,0.999596,-0.0182721,0.021625,0.00252677,0.01
5.5825,-5.84544,0.145411,0.155561,0.245758,-0.00596476,-0.00122852,0.0781242,0.122688,0.000946095,0.999583,-0.0174908,0.0228519,0.00253623,0.01
5.22334,-5.72089,0.135122,0.207795,0.188549,-0.00461354,-0.000331254,0.104146,0.0940122,0.00171739,0.999578,-0.0164494,0.023792,0.0025534,0.01
4.84075,-5.56877,0.123539,0.256202,0.132862,-0.00337815,0.00053097,0.128257,0.0661036,0.00245216,0.999583,-0.0151668,0.024453,0.00257792,0.01
4.43899,-5.3934,0.110805,0.300592,0.0789278,-0.0022701,0.00131742,0.150363,0.0390772,0.00313915,0.999595,-0.0136631,0.0248437,0.00260931,0.01
4.02059,-5.1933,0.0969712,0.340798,0.0269948,-0.00130039,0.00199455,0.170381,0.0130562,0.00376783,0.999613,-0.0119593,0.0249743,0.00264698,0.01
3.58949,-4.97228,0.0822063,0.376693,-0.022728,-0.000478329,0.00253693,0.188249,-0.0118553,0.00432884,0.999637,-0.0100768,0.0248557,0.00269027,0.01
