p_x,p_y,p_z,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,dt
0.995655,0.995655,4.076153,0.066371,0.066371,0.182667,-0.156252,-0.156252,8.941875,0.010000
0.996296,0.996296,4.078342,0.064834,0.064834,0.174156,-0.153679,-0.153679,8.958829,0.010000
0.996922,0.996922,4.080449,0.063323,0.063323,0.165812,-0.151185,-0.151185,8.975609,0.010000
0.997533,0.997533,4.082475,0.061835,0.061835,0.157634,-0.148766,-0.148766,8.992209,0.010000
0.998129,0.998129,4.084422,0.060371,0.060371,0.149620,-0.146420,-0.146420,9.008635,0.010000
0.998711,0.998711,4.086290,0.058929,0.058929,0.141769,-0.144140,-0.144140,9.024883,0.010000
0.999279,0.999279,4.088083,0.057510,0.057510,0.134079,-0.141927,-0.141927,9.040954,0.010000
0.999833,0.999833,4.089802,0.056112,0.056112,0.126547,-0.139773,-0.139773,9.056845,0.010000
1.000374,1.000374,4.091447,0.054736,0.054736,0.119173,-0.137678,-0.137678,9.072553,0.010000
1.000901,1.000901,4.093021,0.053379,0.053379,0.111953,-0.135638,-0.135638,9.088078,0.010000
1.001415,1.001415,4.094525,0.052043,0.052043,0.104888,-0.133650,-0.133650,9.103425,0.010000
1.001915,1.001915,4.095961,0.050726,0.050726,0.097974,-0.131709,-0.131709,9.118589,0.010000
1.002403,1.002403,4.097330,0.049427,0.049427,0.091209,-0.129814,-0.129814,9.133571,0.010000
1.002878,1.002878,4.098633,0.048148,0.048148,0.084593,-0.127961,-0.127961,9.148369,0.010000
1.003341,1.003341,4.099873,0.046886,0.046886,0.078123,-0.126147,-0.126147,9.162983,0.010000
1.003791,1.003791,4.101049,0.045643,0.045643,0.071797,-0.124369,-0.124369,9.177413,0.010000
1.004229,1.004229,4.102165,0.044416,0.044416,0.065613,-0.122625,-0.122625,9.191661,0.010000
1.004655,1.004655,4.103221,0.043207,0.043207,0.059571,-0.120914,-0.120914,9.205728,0.010000
1.005069,1.005069,4.104219,0.042015,0.042015,0.053667,-0.119233,-0.119233,9.219606,0.010000
