p_x,p_y,p_z,dp_x_prime,dp_y_prime,dp_z_prime,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,w_hat_x,w_hat_y,w_hat_z
0.610222,0.610255,2.47258,0.567069,0.56708,2.32946,0.577066,0.577076,2.36147,-0.999681,-0.999527,-3.20124,-0.193128,-0.192892,-0.158004
0.615892,0.615926,2.49587,0.553743,0.553751,2.30161,0.567069,0.56708,2.32946,-1.33261,-1.33298,-2.78505,-0.343361,-0.34334,0.00623387
0.62143,0.621463,2.51889,0.544331,0.544341,2.26993,0.553743,0.553751,2.30161,-0.941189,-0.940974,-3.16789,-0.199614,-0.199359,-0.153405
0.626873,0.626907,2.54159,0.531776,0.531782,2.24252,0.544331,0.544341,2.26993,-1.25549,-1.25592,-2.74115,-0.341013,-0.341021,0.0145933
0.632191,0.632224,2.56401,0.523097,0.523105,2.21125,0.531776,0.531782,2.24252,-0.867926,-0.867706,-3.12753,-0.197431,-0.197179,-0.146938
0.637422,0.637455,2.58613,0.511249,0.511252,2.18428,0.523097,0.523105,2.21125,-1.18481,-1.18522,-2.69628,-0.338386,-0.338391,0.0224806
0.642534,0.642568,2.60797,0.503419,0.503424,2.15348,0.511249,0.511252,2.18428,-0.783009,-0.782874,-3.0804,-0.187468,-0.187256,-0.138505
0.647568,0.647602,2.6295,0.49222,0.492222,2.12695,0.503419,0.503424,2.15348,-1.11987,-1.12017,-2.65259,-0.33487,-0.334837,0.0291838
0.652491,0.652524,2.65077,0.485272,0.485274,2.09668,0.49222,0.492222,2.12695,-0.694857,-0.694823,-3.02699,-0.17285,-0.172684,-0.128175
0.657343,0.657377,2.67174,0.474731,0.474732,2.07056,0.485272,0.485274,2.09668,-1.05405,-1.05422,-2.61178,-0.327543,-0.327462,0.0341104
0.662091,0.662124,2.69245,0.468615,0.468615,2.04089,0.474731,0.474732,2.07056,-0.611608,-0.611665,-2.96753,-0.156674,-0.156549,-0.115984
0.666777,0.666811,2.71286,0.458817,0.458816,2.01514,0.468615,0.468615,2.04089,-0.979838,-0.979878,-2.57535,-0.313211,-0.313082,0.0366925
0.671365,0.671399,2.73301,0.453412,0.453411,1.98612,0.458817,0.458816,2.01514,-0.540419,-0.540565,-2.90153,-0.141732,-0.141648,-0.101708
0.675899,0.675933,2.75287,0.444557,0.444557,1.96067,0.453412,0.453411,1.98612,-0.885544,-0.885369,-2.54509,-0.287076,-0.286864,0.0362028
0.680345,0.680378,2.77247,0.439629,0.439625,1.93241,0.444557,0.444557,1.96067,-0.492827,-0.493145,-2.82563,-0.132682,-0.132672,-0.0840043
0.684741,0.684775,2.7918,0.433305,0.433311,1.90715,0.439629,0.439625,1.93241,-0.632424,-0.631418,-2.52593,-0.192976,-0.192431,0.0306343
0.689074,0.689108,2.81087,0.428824,0.428808,1.88039,0.433305,0.433311,1.90715,-0.448099,-0.45037,-2.67646,-0.121197,-0.121982,-0.0372251
0.693362,0.693396,2.82967,0.421547,0.421546,1.85641,0.428824,0.428808,1.88039,-0.727611,-0.726131,-2.39826,-0.236412,-0.235679,0.0684004
0.697578,0.697611,2.84824,0.418111,0.418105,1.82867,0.421547,0.421546,1.85641,-0.343639,-0.34412,-2.77364,-0.0820791,-0.0821425,-0.0908341
0.701759,0.701792,2.86652,0.411061,0.411057,1.80441,0.418111,0.418105,1.82867,-0.704963,-0.704843,-2.42591,-0.228786,-0.228607,0.0426317
0.705869,0.705903,2.88457,0.408282,0.408275,1.77755,0.411061,0.411057,1.80441,-0.277981,-0.278125,-2.68623,-0.0554566,-0.0553868,-0.0703235
0.709952,0.709986,2.90234,0.401936,0.401932,1.75386,0.408282,0.408275,1.77755,-0.634574,-0.634373,-2.36926,-0.198742,-0.198534,0.0503657
0.713972,0.714005,2.91988,0.399396,0.399389,1.72734,0.401936,0.401932,1.75386,-0.253966,-0.254258,-2.65204,-0.0427676,-0.04276,-0.0720005
0.717966,0.717999,2.93716,0.395602,0.395601,1.70424,0.399396,0.399389,1.72734,-0.379385,-0.378806,-2.30912,-0.0910852,-0.0907262,0.058886
0.721922,0.721955,2.9542,0.392746,0.39273,1.67807,0.395602,0.395601,1.70424,-0.28563,-0.28711,-2.61774,-0.050034,-0.0505103,-0.0742521
0.725849,0.725882,2.97098,0.387929,0.387928,1.65554,0.392746,0.39273,1.67807,-0.481694,-0.480186,-2.25236,-0.125805,-0.125072,0.0654343
0.729728,0.729761,2.98753,0.386193,0.386182,1.62975,0.387929,0.387928,1.65554,-0.17365,-0.174571,-2.5789,0.00309338,0.00284158,-0.0752459
0.73359,0.733623,3.00383,0.380965,0.380958,1.60777,0.386193,0.386182,1.62975,-0.522802,-0.522401,-2.19826,-0.133719,-0.133437,0.0703521
0.7374,0.737433,3.01991,0.379743,0.379734,1.58241,0.380965,0.380958,1.60777,-0.122156,-0.122405,-2.53669,0.0335375,0.033556,-0.0754005
0.741197,0.74123,3.03573,0.374894,0.374888,1.56095,0.379743,0.379734,1.58241,-0.484869,-0.484617,-2.14537,-0.108017,-0.107797,0.0742806
0.744946,0.744979,3.05134,0.373642,0.373632,1.53603,0.374894,0.374888,1.56095,-0.125259,-0.125562,-2.49234,0.0432642,0.0432585,-0.0751541
0.748683,0.748715,3.0667,0.370822,0.370822,1.5151,0.373642,0.373632,1.53603,-0.281941,-0.281077,-2.09293,-0.0143102,-0.0138441,0.0775978
0.752391,0.752424,3.08186,0.369339,0.369317,1.49063,0.370822,0.370822,1.5151,-0.148317,-0.150447,-2.44649,0.0458791,0.0451317,-0.0746903
0.756084,0.756117,3.09676,0.365127,0.365121,1.47023,0.369339,0.369317,1.49063,-0.42124,-0.419604,-2.04074,-0.0584443,-0.057668,0.0804623
0.759736,0.759768,3.11146,0.364222,0.36421,1.44623,0.365127,0.365121,1.47023,-0.090488,-0.0910694,-2.39951,0.0818073,0.0816846,-0.0740868
0.763378,0.76341,3.12593,0.359584,0.359575,1.42635,0.364222,0.36421,1.44623,-0.463753,-0.463565,-1.98864,-0.0630299,-0.0628422,0.0830064
0.766974,0.767006,3.14019,0.358893,0.358883,1.40283,0.359584,0.359575,1.42635,-0.0691009,-0.0691752,-2.35176,0.103129,0.103209,-0.0734162
0.770563,0.770595,3.15422,0.354144,0.354134,1.38346,0.358893,0.358883,1.40283,-0.47488,-0.474889,-1.93669,-0.0549437,-0.0548379,0.0852835
0.774104,0.774136,3.16805,0.353438,0.353427,1.36043,0.354144,0.354134,1.38346,-0.0706103,-0.0706826,-2.30351,0.114953,0.115032,-0.0727196
0.777638,0.77767,3.18166,0.348678,0.348667,1.34157,0.353438,0.353427,1.36043,-0.476079,-0.476027,-1.8851,-0.0432357,-0.0431077,0.0872706
0.781125,0.781157,3.19507,0.347834,0.347822,1.31903,0.348678,0.348667,1.34157,-0.0843994,-0.0845245,-2.25498,0.121238,0.121293,-0.0720246
0.784603,0.784635,3.20826,0.343079,0.343068,1.30069,0.347834,0.347822,1.31903,-0.47546,-0.475359,-1.83394,-0.0315169,-0.0313719,0.0889872
0.788034,0.788066,3.22127,0.34202,0.342008,1.27862,0.343079,0.343068,1.30069,-0.105872,-0.106057,-2.20641,0.123539,0.123566,-0.0713867
0.791454,0.791486,3.23406,0.337253,0.337242,1.26079,0.34202,0.342008,1.27862,-0.47675,-0.476575,-1.7834,-0.0215794,-0.0214074,0.0904059
0.794827,0.794858,3.24666,0.335941,0.335927,1.23921,0.337253,0.337242,1.26079,-0.1312,-0.131457,-2.15798,0.123144,0.123139,-0.0708311
0.798186,0.798218,3.25906,0.331113,0.331102,1.22187,0.335941,0.335927,1.23921,-0.482766,-0.482537,-1.73363,-0.014803,-0.014613,0.0915005
0.801498,0.801529,3.27127,0.329549,0.329535,1.20077,0.331113,0.331102,1.22187,-0.156407,-0.156712,-2.1099,0.121449,0.121421,-0.0704192
0.804793,0.804824,3.28328,0.324593,0.324581,1.18393,0.329549,0.329535,1.20077,-0.495602,-0.495372,-1.6847,-0.0122278,-0.0120406,0.0922641
0.808039,0.80807,3.29512,0.322816,0.322801,1.1633,0.324593,0.324581,1.18393,-0.177737,-0.178052,-2.06224,0.11981,0.119774,-0.0701508
0.811267,0.811298,3.30675,0.317658,0.317645,1.14694,0.322816,0.322801,1.1633,-0.515773,-0.515563,-1.63667,-0.0142024,-0.014027,0.0927004
0.814444,0.814474,3.31822,0.315727,0.315711,1.12679,0.317658,0.317645,1.14694,-0.19312,-0.193423,-2.01511,0.118946,0.118912,-0.0700604
0.817601,0.817631,3.32949,0.310314,0.3103,1.11089,0.315727,0.315711,1.12679,-0.54126,-0.541107,-1.58958,-0.0200021,-0.0198535,0.0928021
0.820704,0.820735,3.3406,0.308281,0.308264,1.0912,0.310314,0.3103,1.11089,-0.203322,-0.203564,-1.96854,0.118482,0.118468,-0.0701376
0.823787,0.823817,3.35151,0.302596,0.30258,1.07577,0.308281,0.308264,1.0912,-0.568537,-0.568446,-1.5434,-0.0282422,-0.0281233,0.0926007
0.826813,0.826843,3.36227,0.300489,0.300471,1.05654,0.302596,0.30258,1.07577,-0.210704,-0.21088,-1.92252,0.117439,0.117447,-0.0703687
0.829818,0.829848,3.37284,0.294545,0.294528,1.04156,0.300489,0.300471,1.05654,-0.594334,-0.594298,-1.4981,-0.0375978,-0.0375057,0.0921222
0.832763,0.832793,3.38325,0.292372,0.292353,1.02279,0.294545,0.294528,1.04156,-0.217339,-0.217461,-1.87707,0.115,0.115026,-0.0707395
0.835687,0.835716,3.39348,0.286206,0.286188,1.00826,0.292372,0.292353,1.02279,-0.616535,-0.616533,-1.45359,-0.0471681,-0.047094,0.0914149
0.838549,0.838578,3.40356,0.283963,0.283944,0.989936,0.286206,0.286188,1.00826,-0.224314,-0.2244,-1.83208,0.11079,0.110826,-0.0711976
0.841389,0.841418,3.41346,0.277625,0.277605,0.975838,0.283963,0.283944,0.989936,-0.633848,-0.63387,-1.40985,-0.0563477,-0.0562878,0.0905138
0.844165,0.844194,3.42322,0.275303,0.275283,0.957963,0.277625,0.277605,0.975838,-0.232169,-0.232225,-1.78752,0.104687,0.104731,-0.0716986
0.846918,0.846947,3.4328,0.268849,0.268829,0.944295,0.275303,0.275283,0.957963,-0.645403,-0.645442,-1.3668,-0.0646693,-0.0646209,0.0894717
0.849606,0.849635,3.44224,0.266437,0.266416,0.926861,0.268849,0.268829,0.944295,-0.241213,-0.241248,-1.74338,0.0966975,0.0967457,-0.0722205
0.852271,0.852299,3.45151,0.259932,0.25991,0.913618,0.266437,0.266416,0.926861,-0.650536,-0.6506,-1.32429,-0.0717213,-0.0716874,0.0883812
0.85487,0.854898,3.46065,0.257414,0.257393,0.896621,0.259932,0.25991,0.913618,-0.251756,-0.251743,-1.69967,0.0868499,0.0869129,-0.0727261
0.857444,0.857472,3.46961,0.250927,0.250905,0.883798,0.257414,0.257393,0.896621,-0.64867,-0.648755,-1.28232,-0.077105,-0.0770833,0.0872706
0.859953,0.859981,3.47845,0.248285,0.248263,0.867235,0.250927,0.250905,0.883798,-0.264259,-0.264221,-1.65634,0.0751309,0.0752002,-0.0731748
0.862436,0.862464,3.48712,0.241894,0.241871,0.854827,0.248285,0.248263,0.867235,-0.639082,-0.639182,-1.24077,-0.0803455,-0.0803341,0.0862256
0.864855,0.864883,3.49567,0.239096,0.239074,0.838692,0.241894,0.241871,0.854827,-0.279796,-0.279727,-1.6135,0.0612941,0.061372,-0.0735668
0.867246,0.867273,3.50406,0.232891,0.232868,0.826695,0.239096,0.239074,0.838692,-0.620476,-0.620612,-1.1997,-0.0807261,-0.0807332,0.0852546
0.869575,0.869602,3.51233,0.229876,0.229854,0.810983,0.232891,0.232868,0.826695,-0.301505,-0.301341,-1.57116,0.044264,0.0443765,-0.0738767
0.871874,0.8719,3.52043,0.223984,0.22396,0.799394,0.229876,0.229854,0.810983,-0.589256,-0.589473,-1.15899,-0.0765921,-0.0766355,0.0844402
0.874114,0.87414,3.52843,0.220492,0.220475,0.7841,0.223984,0.22396,0.799394,-0.349127,-0.348444,-1.5294,0.0162444,0.0165632,-0.074104
0.876319,0.876345,3.53627,0.215293,0.215266,0.772913,0.220492,0.220475,0.7841,-0.519963,-0.52086,-1.11868,-0.057435,-0.0577574,0.0837975
0.878472,0.878498,3.544,0.210533,0.210513,0.758029,0.215293,0.215266,0.772913,-0.476,-0.475301,-1.48834,-0.0441718,-0.0438494,-0.074262
0.880577,0.880603,3.55158,0.207077,0.207044,0.747241,0.210533,0.210513,0.758029,-0.345566,-0.346935,-1.07885,0.00408506,0.00356854,0.0833275
0.882648,0.882673,3.55905,0.201597,0.201578,0.73276,0.207077,0.207044,0.747241,-0.548006,-0.54664,-1.44804,-0.0824764,-0.0818869,-0.0743473
0.884664,0.884689,3.56638,0.199187,0.199159,0.722365,0.201597,0.201578,0.73276,-0.24099,-0.241854,-1.03956,0.0373084,0.0369934,0.0830334
0.886656,0.88668,3.5736,0.193238,0.193214,0.708279,0.199187,0.199159,0.722365,-0.594883,-0.594516,-1.40855,-0.110537,-0.110355,-0.0743618
